（梆子原板）, 母亲 面前 讨红绫   我 与 先生 把 汗蒙   迈步 我 把 书房 进   请 问 先生 可 安宁
（梆子原板）, 施一礼来 出 书馆   一 到 上房 读书 篇
（梆子原板）, 王 先生 在 大街 曾 把 文 卖   我 看他 文才 好 带进 府来   进府 来 我 将 他 好好 看待   为的 是 唐 子 其 功名 文才   行 一 步 来 至 在 书馆 门外   叫 家院 掌 灯笼 前面 走来   进 书馆 见 先生 躬身 下拜   尊 先生 你 苏醒 本镇 到来
（梆子乱导板）, 一 见 绣鞋 怒气冲
（梆子原板）, 一 见 子 其他 去 了   不 见 书童 哪里 行
（梆子慢板）, 昔日 里 洪武爷 在 南京 地面   全 凭着 文 共 武 保护 江山   文凭 着 刘伯温 阴阳 有 准   武 凭着 老 徐达 扶保 乾坤   胡 大海
（梆子原板）, 府下 领了 老爷 命   禀报 奶奶 得 知情
（梆子乱导板）, 有 唐寅 回府 来 怒气 生   开言 大骂 李月英   转身 且 把 二 堂 进   一 见 贱人 执剑行
（梆子慢板）, 有 唐寅 在 二 堂 怒气生   开言 再 骂 李月英   本镇 不 在 唐府 内   狗 贱人 做 下了 什么 事情
（梆子原板）, 老爷 不必 怒气生   听 为妻 把 话 说 分明   回府 来 提刀 来 杀 我   为妻 的 做错 了 什么 事情
（梆子原板）, 王 先生 书馆 身 得病   你 在 府中 可 知情
（梆子原板）, 王 先生 书馆 身 有病   子其儿 禀报 我 知情
（梆子原板）, 贱人 接言 知 此 事   你 就 该 书馆 探望 先生
（梆子原板）, 老爷 讲话 你 错了   哪 一 个 妇道 人 探望 先生
（梆子原板）, 去 不 去 在于 你   莫 哄 我 唐寅 昏迷 虫
（梆子原板）, 老爷 说话 有 其情   莫非 说 妻 私通 了 王先生
（梆子原板）, 三六九日 操演 兵   狗 贱人 私通 了 王先生
（梆子原板）, 言说 私通 王 先生   有 何 物件 作证 凭
（梆子原板）, 贱人 与 我 要 凭证   取出 了 绣鞋 你 看 分明
（梆子原板）, 见 绣鞋 唬 得 我 三 魂 不 在   七 魄 悠悠 转 回来   出言 便 把 老爷 问   绣鞋 怎 到 书房 中
（梆子原板）, 绣鞋 实在 书房 内   我 亲 在 书馆 看 得 明
（梆子原板）, 言说 既 在 书馆 中   你 就 该 前去 问 先生
（梆子原板）, 先生 岂 肯 说真话
（梆子原板）, 想 杀 为妻 万 不 能
（梆子原板）, 贱人 还 敢 巧言辩   气得 我 鲜血 上下翻   三 尺 宝剑 出 了 鞘
（梆子原板）, 拦住 老爷 且 慢行
（梆子乱导板）, 老爷 正在 沙滩困   一 句 话 提醒 了 懵懂 人   翠花 掌 灯头 引路   到 书馆 去 杀 王 先生
（梆子乱导板）, 唐 老爷 回府 来 怒气冲冲
（梆子慢板）, 倒 叫我 李月英 大吃一惊   这 绣鞋 本 是 我 亲手 刺做   插 双翅 飞到 了 书馆 里边   我 有心 在 二 堂 悬梁 自尽   纵 死 在 阴曹 府 真假 难分   将 身儿 坐 至 在 二 堂 以上   等 我 儿他 到来 细问 一番
（梆子原板）, 唐 子 其 门外 侧 耳听   忽听 母亲 放 悲声   迈步 且 把 二 堂 进   问 母亲 痛哭 为何 情
（梆子原板）, 你 的 父 回家 来来 杀 我
（梆子原板）, 他 言 我 与 先生 有
（梆子原板）, 有 了 私情
（梆子快原板）, 一 见 奴才 讲 出口   羞得 为 娘 脸 通红
（梆子原板）, 施 一 礼 来 下 二 堂   活活 羞杀 我 学生
（梆子原板）, 一 见 我 儿 他 去了   怎 不 叫人 恼 在心   将 身回 至 上房 内   等 翠花 回来 问 分明
（梆子乱导板）, 翠花 掌灯 前 引路
（梆子原板）, 忽听 谯楼 起 了 更   不 知 何人 叩门 庭   我 这里 出言 一 声 问   你 是 何人 叫门 来
（梆子原板）, 先生 把 我 忘却 了   我本是翠 花到 来临
（梆子原板）, 翠花 不 在 馆驿内   来 在 书馆 为何 情
（梆子原板）, 我 的 奶奶 把 你 请   请 你 一 到 唐 府中
（梆子原板）, 唐府 出 了 什么 事   如何 不 等到 天明
（梆子原板）, 八月 十五月 正明   先生 你 与 我 奶奶 有
（梆子原板）, 有 了 私情
（梆子快板）, 忽听 翠花 讲 一 遍   羞得 王标面 飞红
（梆子导板）, 有 唐寅 侧耳听
（梆子乱导板）, 急急 走来 莫 消停   三 步 当作 两 步 行   行走 来 在 书馆 外   叫声 先生 开门 来
（哭板）, 叫我 慢慢 的 叫来
（梆子慢板）, 唐 老爷 一 言 问住 我   倒 叫 我 大 张口 无 有 话说   这 书馆 好比 在 阎罗 宝殿   唐 老爷 他 好比 五 殿 阎君   小翠 花 她 好比 催命 判官   李月英 好 一 似 屈死 鬼魂   高声 不 敢 低 声叫   叫声 先生 开门 来
（梆子原板）, 今日 晚上 好 奇怪   两 次 三 番 扣 门 来   方才 打发翠 花去   又是 何人 来扣门
（梆子原板）, 时 才 翠花 把 你 请   你 为何 不到 唐 府中
（梆子原板）, 唐府 出 了 什么 事   你 为何 不 等到 天明
（梆子原板）, 八月 十五月 正明   先生 你 与 我 有
（梆子原板）, 有 了 私情
（梆子原板）, 忽听 奶奶 讲 出口   羞得 王标面 通红
（梆子快板）, 强盗 门外 你 侧耳听   先生 果然 是 好 先生   人活 百岁 也 是 死   不如 早死 见阎君
（梆子快板）, 有 唐寅 听得清   先生 可 算 好 先生   迈步 且 把 二 堂 进   我 一 到 上房 前去 赔情
（梆子原板）, 一 见 奶奶 她 去 了   倒 叫 我 王标难 为人
（内梆子导板）, 唐 老爷 作事 太 无礼
（梆子快板）, 怎不 叫人 痛 伤心   人 活 百 岁 俱 是 死   不如 一 死 倒 干净
（梆子慢板）, 你 言说 为妻 贞节 坏   你 把 对证 拿 过来   此处 既有 见证 在   为妻 我 自当 刎首 下来
（梆子原板）, 见 夫人 只 哭得 口干 带 哑   听 丈夫 把 此话 细说 根芽   三六九 下 教 场 操演 弓马   回府 来 遇见 了 多嘴 的 翠花   她 言说 王 先生 染病 床上   到 书馆 见 绣鞋 疑心 起 下   回府 来 掌 宝剑 便 把 妻杀
（梆子哭板）, 哭 一 声 母亲
（梆子原板）, 一 见 我 儿跪留平   好似 刚 刀 刺 在心   知道 还 言 他 不 是   不 知 还 说 我 不 贤
（西皮摇板）, 一 日 离家 一 日 深
（西皮摇板）, 好似 孤雁宿寒林
（西皮摇板）, 催马 加鞭 往 前进
（西皮摇板）, 披星带月 转回程
（西皮摇板）, 来 至 大街 忙 观 定
（西皮摇板）, 见 一 美貌 女 佳人
（唢呐二黄导板）, 有 我 神离 了 那 凌霄 殿
（唢呐二黄原板）, 奉敕旨驾 祥云 才 下 尘凡   都 只为 关寿长 身 遭 大难   怕 的 是 落 险境 性命 难 全   我 这里 用 法术 改头换面   保全 他 出 虎穴 离 了 龙潭   从 今后 立功业 扶保 大汉   落 美 名垂 青史 万古 流传
（二黄摇板）, 我 这里 把 话 对 你 论   还 要 牢牢 记 在心
（西皮原板）, 有 刘备 生来 命运 低   家道 贫穷 无 食 无 衣   破烂 衣衫 难以 遮体   卖 草鞋 在 长街 东去 复西   有朝 一 日 风云 至   重整 山河扶 社稷   但 不 知 时运 何日 才 至   英雄 落魄 好不惨凄
（西皮摇板）, 迈开 大 步出 店门   去 到 长街 散散心
（西皮摇板）, 来 至 街 前 用 目看   又 见 招帖 在 门前
（西皮摇板）, 一 步 来 在 街坊 上   那边 来 了 一 婆娘
（西皮摇板）, 自 幼儿 闯 江湖 阳关 路上   大 英雄 振绿林 天下 名扬
（西皮摇板）, 桃园 把盏 多 欢畅
（西皮摇板）, 你 我 且 自 饮 琼浆
（西皮原板）, 三 人 共 坐 饮 琼浆
（西皮原板）, 倒 叫我 老张 喜洋洋
（西皮原板）, 看 刘穷倒 不 像 饥饿 模样
（西皮原板）, 两 耳垂 肩 相貌堂堂
（西皮原板）, 因 何故 落 至 在 长街 上
（西皮原板）, 他 终日 卖 草鞋 度 日光
（西皮摇板）, 适才 朦胧 方 睡定   二 位 唤 我 为何 情
（西皮原板）, 刘玄德 他 生来 仪表 英俊   抱 经纶 仗 仁义 果 有 才 能   倘若 是 他 能够 执掌 此 郡   满 城 中 众 黎民 定 受 厚恩   我 也 曾 让 过 了 徐州 牌印   怎奈 他 再三 的 不肯 担承   为此 事 终日 里 我 焦愁 烦闷   这 件 事 好 叫我 无 计 可行
（西皮原板）, 主公 不必 心 烦闷   细 听 我 糜竺 说 分明   你 若 要 将 徐州 让他 掌定   必须 要 想 良谋 叫 他 应承
（西皮摇板）, 好 一 仁 德 刘使君   可算 当世 第一 人   但愿 得 他 领受 徐州郡   免得 我 昼夜 里 费力 劳心
（西皮摇板）, 曹
（西皮摇板）, 桃园 威名 天下扬
（西皮摇板）, 谁 人 不 知 刘 关张
（西皮摇板）, 辞别 府 君 出 衙庭
（西皮摇板）, 去 到 小沛 看 分明
（西皮摇板）, 刘备 不 受 徐州郡
（西皮摇板）, 可算 当今 仁 义人
（西皮摇板）, 人马 离了 徐州郡
（西皮摇板）, 卷 旗 携 鼓 转 回程
（西皮摇板）, 陶谦 下书 来 相请   不 知 哪 路 有 军情
（西皮摇板）, 弟兄 一同 往 前进
（西皮摇板）, 去到 徐州 看 分明
（二黄慢板）, 叹 人生 如 花草 春夏 茂盛   待等 那 秋 风起 日渐 凋零   为 国家 心焦 愁 身染 重病   大限 到 阳寿 终 难保 残生
（二黄摇板）, 来 至 在 帐外 下 能行
（二黄摇板）, 急忙 上前 礼 相迎
（二黄摇板）, 先生 与 我 把 路引   去 到 病房 看 分明
（二黄导板）, 适才 间 沉沉 将 睡 稳
（二黄摇板）, 又 只见 刘使君 在 面前 存
（二黄慢板）, 汉 高 皇 开国 基 江山 初创   传流 了 四百 载 锦绣 家邦   到 如今 气运 衰 四 方 扰攘   众奸谗 乱 国政 君 弱 臣 强   外 有 那 黄巾贼 各 处 掠抢   众 诸侯 分 疆土 他们 各 霸 一 方   怎奈 我 徐州城 民 多 地 广   倘若 是 刀兵 起 民 受 灾殃   望 使 君 领 此 郡 切莫 谦让   我 纵 死 九 泉 也 受 恩光
（二黄摇板）, 夫人 只 想 八 珍 汤   连日 累得 苦 奔忙
（二黄摇板）, 大街小巷 去 寻访   只 恐 徒劳 走 一 场
（二黄慢板）, 孙淑林 出 店 房 前思后想   想起 了 夫与儿 好不 悲伤   夫 离家儿 被 抢荒 旱 又 降   为 寻 夫 不 料想 病困 洛阳   在 店 中 欠 银钱 卖身 还偿   可怜 我 年迈 人 落 此 下场   含 悲泪 持 草 标 长街 来 上
（二黄摇板）, 一 声声 叫 卖人 好不 凄凉
（二黄摇板）, 王家店 中 还 银两
（二黄摇板）, 从此 终老 在 他乡
（二黄摇板）, 思想 那 八 珍 汤 茶饭 懒进   命 家 院找 仆人 未 见 信音   叫 丫鬟 搀扶 我 二 堂 坐定
（二黄摇板）, 但愿 得 找寻 到 做 汤 之人
（二黄摇板）, 孤苦 无依 遭 贫困   只得 低头 服侍 人
（二黄摇板）, 止不住 心 焦躁 催问 连声
（二黄摇板）, 急得 我 手忙 心 不定   战战兢兢 奉 敬 夫人
（二黄摇板）, 老奴 做事 不 当心   耗费 夫人 多少 银   手持 家法 将 你 打
（二黄摇板）, 夫人 息怒 养 精神
（二黄散板）, 我 指望 到此 得 安稳   又 谁知 落在 陷 人 坑   悲 悲切切 泪 难忍
（二黄散板）, 仪门 等候 送礼人
（二黄摇板）, 适才 领了 夫人 命   忙送 寿礼 到 府门
（二黄摇板）, 老奴 做事 不 思忖   嘱咐 言语 你 不 遵
（二黄摇板）, 家法 一举 要 尔的命
（二黄摇板）, 活活 打死 你 这 老 残生
（二黄散板）, 我 与 你 哪里 结 仇恨   苦苦 打我 为何 情   浑身 上下 痛 难忍
（二黄散板）, 皆 因 礼物 受 苦刑
（二黄摇板）, 老妈妈 不要 放 悲声   随 我 去 见 周 夫人
（二黄散板）, 尊声 夫人 听我禀   柳川 巷里 是 我 家门   我 夫 名叫 张文达
（二黄原板）, 我 丈夫 自幼 把 书 念   一十五 岁 身入 黉门
（二黄原板）, 都 只为 求 功名 把 京城 奔   借了周
（二黄原板）, 周
（二黄原板）, 常 家 抢去 朱砂贯   周家 抢去 孔凤缨
（二黄原板）, 朱砂贯 改名 常 天 保
（二黄原板）, 孔凤缨 改名 周子卿
（二黄原板）, 皆 因 是 平阳 遭荒 旱   独自 寻 夫 奔 京城   到此 不幸 身 染病   欠下 了 店 饭 银
（二黄原板）, 指望 卖身 求 安稳   偏 遇 狠心 常 夫人   进门 将 我 打 一 顿   受礼 的 事儿 不 容情   夫人 若是 不 肯 信
（二黄摇板）, 我 浑身 上下 尽 伤痕
（二黄摇板）, 听罢言 来 心 难忍   果然 是 婆婆 受 苦情   忙 上 前去 将 她 认
（二黄摇板）, 待 老爷 回府 后 商议 而行
（二黄摇板）, 辞别 夫人 出府门
（二黄摇板）, 看看 过 了 午时辰   回去 又 是 一 顿 打
（二黄摇板）, 望 夫人 救我 命 残生
（二黄摇板）, 多谢 夫人 施 恻隐   设计 搭救 我 老 残生   我 若是 苟 延 得 活命
（二黄摇板）, 不忘 夫人 再造恩
（二黄散板）, 她 言道 朱砂贯 改名 常 天保   孔凤缨 改名 周子卿   母亲 受苦 你 不问   问 什么 证来 要 什么 凭
（二黄散板）, 听说 母亲 受 苦情   怎 不 教人 痛 伤心   辞别 夫人 出府门
（二黄散板）, 去 到 常府 认 娘亲
（二黄散板）, 奴才 说话 礼 不逊   全 不 顾 王法 与 官箴   辱骂 为 兄 实 难忍   从 此后 不认 你 周子卿
（二黄散板）, 亲生 之母 你 不 敢 认   说 什么 王法 与 官箴   此处 不 与 你 辩论
（二黄散板）, 都察院 内 把 理评
（二黄散板）, 都察院 我 要 将 你禀   你 玷污 尊长 罪非轻
（二黄散板）, 向前 扯住 常 天 保
（二黄散板）, 反手 扯住 周子卿
（同二黄散板）, 你 与 我 同 把 察院奔
（二黄散板）, 家 住 山西 平阳 郡   柳川 巷里 有 家门
（二黄散板）, 我 父名 叫 张文达
（二黄原板）, 我 的 母 名唤 孙淑林
（二黄原板）, 我 父求 名 把 京 奔   借了周
（二黄原板）, 常 家 抢去 朱砂贯   周家 抢去 孔 凤缨   朱砂贯 改名 常 天保   孔凤缨 改名 周子卿
（二黄原板）, 母亲 寻父 遭 病 困   卖身 常 府 受 苦情   天保 不 肯 把 母认   反 道 我 仓库 不紧
（二黄散板）, 一心 要 认老 娘亲
（二黄散板）, 听罢言 来 才 知情   原来 是 两 个 小 娇 生   人 来 传 上 常 天 保
（二黄散板）, 再 把 中军 叫 一声
（二黄散板）, 这 顶 乌纱 你 戴定   我 保 你 母子 相逢 在 察 院门
（二黄散板）, 一 见 夫人 到 来临   好似 钢刀 刺 我心   走上 前来 忙 跪 定
（二黄散板）, 问声 老爷 你
（二黄散板）, 夫人 不 必 胆战惊   我 是 你 丈夫 张文达 你 仔细 认清
（二黄原板）, 二十 载 因何 无 有 音信   难道 说 忘却 了 夫妻 之情
（二黄原板）, 我 也 曾 寄 过 了 平安 信   我 也 曾 捎 过 了 安家银   下书 人 回来 对 我 论   他 言说 山西省
（二黄原板）, 我 何曾 见 过 你 平安 信   我 何曾 见 过 你 安家 银   别的 话儿 我 不 问   问 一声
（二黄原板）, 这 就 是 长子 朱砂贯   那就是 次子 孔 凤 英
（二黄原板）, 夫荣子 贵 如 梦境   骨肉 团圆 喜 在心   长子 哪里 为 官宦   次子 何处 管 黎民   老爷 你 身授 是 何任   一一 从 头 说 与 我 听
（二黄原板）, 长子 洛阳 为 知府   次子 通判 管 黎民   老夫 身授 都察院   父子 三 人 进士 出身
（二黄原板）, 听 罢了 这 番 话 暗自 称 庆   不 枉 我 受苦 二十 春   急忙忙 下堂 去 把 娇儿 来 认
（二黄散板）, 不孝 的 奴才 骂 几 声   你 纵 妻 虐 母 心毒 狠   把 为 娘 当做 了 陌路人   狠心肠 不 把 长子 认
（二黄散板）, 孝顺 还是 我 那 二 娇 生
（二黄散板）, 难怪 夫人 喜 又 恨   一 母 同胞 两 条 心
（二黄散板）, 你 纵妻 虐 母 该 何 罪
（二黄散板）, 饶恕儿 无知 不孝人
（二黄散板）, 奴才 做 事实 可恨
（二黄散板）, 念 他 无知 发落 从轻
（二黄散板）, 老爷 讲情 我 遵命   再 把 奴才 叫 一 声   为人 怎 能 忘 根本
（二黄散板）, 从 今后 儿 必须 改过 自新
（二黄散板）, 啊
（二黄散板）, 媳妇 啊
（二黄散板）, 霎时间 不由 我 万 感 交迸   止不住 心酸 痛 老泪 淋淋
（西皮摇板）, 元直 先生 对 我 言   卧龙
（西皮摇板）, 卧龙 岗上 走 一番
（西皮散板）, 弟兄 打 马 朝 前进
（西皮散板）, 卧龙 岗上 何处 寻
（西皮散板）, 待 我 前去 把 路问
（西皮散板）, 又 听 农夫 山 歌声
（西皮摇板）, 三 弟 他 把 路径 问   先生 高卧 在 前村   弟兄 打 马山 林 进
（西皮摇板）, 来 见 经天纬地 人
（数板）, 襄阳 城西 二十 里
（西皮流水板）, 开言 我 对 书童 讲   几 句 言语 记 心 旁   一 则 是 今日 来 得 太 鲁莽   二 来 是 德 薄 难 见 贤良   改日 诚心 再 拜访   望 先生 赐 见 我 细说 衷肠
